,fit_times,transform_times,variances,model_name,n_components
0,4.317,0.055,0.2,pca,2
1,4.069,0.064,0.3,pca,3
2,4.236,0.07,0.4,pca,4
3,4.571,0.078,0.5,pca,5
4,4.402,0.082,0.6,pca,6
5,4.663,0.088,0.7,pca,7
6,562.231,13.516,0.363,autoencoder,2
7,352.3,12.933,0.357,autoencoder,3
8,894.491,13.13,0.576,autoencoder,4
9,200.622,14.174,0.415,autoencoder,5
10,914.304,14.692,0.644,autoencoder,6
11,416.092,13.815,0.642,autoencoder,7
12,2498.637,1983.461,0.395,umap,2
13,2385.628,2398.036,0.523,umap,3
14,2413.967,2935.859,0.616,umap,4
